RequirementText,Class
system shall basic data integrity checking reduce possibility incorrect invalid data introduced,SE
cardmember service representative shall able successfully create dispute case first encounter completing training course,US
cardmember merchant service representative shall use dispute application regularly training course,US
product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot,SE
product shall simulate look ship sea,LF
product shall able display calendar date time according user locale survey respondent target market country find date time formatting product correct,US
user update access must able initiate dispute request,SE
wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user,US
product shall able support multiple remote user,SC
interface shall simple look interface usability survey beta tester must report interface adequately simple,LF
database management system oracle mysql hsql need integrated product,O
product shall consistent color scheme font,LF
rf system available especially budgeting period rf system shall available time year budgeting period time system become available within hour time situation reported,A
shall feel satisfied using product user satisfied product,US
adjuster request recycled part audit report user without adjuster role shall request recycled part audit,SE
product shall expected operate least year customer installation,SC
page application take second load dsl broadband connection,PE
product shall able process transaction product shall process minimum million transaction per year,SC
washing process must use non binding neutral data format xml receiving processing lead data,O
system shall notify customer change information policy,SE
interface shall easy use user able successfully use system generate report first use interface adhere ibm usability standard,US
product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch movie minute,US
product must comply,L
website provide help section answer solution common problem,US
product shall synchronize office system every hour,PE
product must developed programming language library,O
website shall make user aware information practice collection data via privacy policy accessible page website,SE
offensive player take shot product shall simulate sound ship sea,LF
website shall continue operate streaming server go,FT
system shall able operate within business office environment typical nursing department depaul university,O
waiter attempt log second tablet already logged another tablet shall rejected notified tablet,SE
give view data medical record logging,LF
software must run several popular hardware platform goal achieve reasonable level platform independence,PO
website comply standard,L
page shall contain navigation menu show index current page contained,LF
software system need robust security mechanism place unauthorized user allowed access part system,SE
lead process longer second system record event duration,PE
product shall available time rationale avoid service interruption busiest customer service response period product shall available time regular business day,A
system shall available time,A
streaming movie buffering time take longer second plus latency user connection,PE
product shall provide player access information might reveal identity another player,SE
server failure software product shall achieve time,A
system use ssl secured socket layer transaction include confidential customer information,SE
hardware supporting current website used support new system,O
business rule specified dispute system shall compliance merchant operating regulation,L
login attempt shall done secure manner,SE
product shall able handle large number game simultaneously,PE
shall meet licensing requirement set forth appropriate organization order stream african movie,L
website shall capable supporting customer,SC
system use company color logo,LF
system shall refresh display every second,PE
movie shall streamed demand time day,A
language product shall accommodate target market country survey respondent target market country find language product acceptable,SC
dispute application shall ensure user appropriate access level allowed initiate dispute request,SE
look feel system shall conform user interface standard smart device,LF
shall let customer cancel account process shall take longer minute database mark account inactive user able log website,PE
search recycled part shall take longer second search result shall returned second,PE
product shall comply city chicago application development guide framework application development framework provide structured graphical user interface,LF
administrator must able update category listing website within minute,PE
system shall use secure socket layer ssl technology ensure payment made online user logins secure,SE
source code shall adhere agreed upon set coding standard development language used,MN
dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant account adjustment request must sent cardmember posting billing system,O
authorized user shall access clinical site information,SE
product must work database management system dbms market whether dbms collocated product machine located different machine computer network,O
system shall provide multi language support,US
product must highly configurable use various database management system end user end user able integrate new database management system product without changing product software code,MN
system shall cater simultaneous user,SC
product shall provide load balancing product shall provide technology well load balancing overcome data load spike traffic,PE
dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database,O
web interface compatible standard order usable via major web browser wide variety environment,PO
product shall respond fast keep data display,PE
system must easy use manager chef need read extensive amount manual,US
display shall require user log,SE
user shall able use system one day training,US
system shall built secure possible malicious interference,SE
shall able view least nfl player statistic point page,US
authorized personnel access customer record database,SE
product shall provide error tracking service product shall help system administrator dba resolve transaction error time,US
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,O
documentation code sr enable easy maintenance flea market,MN
product shall able handle simultaneous user system shall perform user time,SC
shall let administrator movie website minute entered movie information stored database available website,PE
security access level provided online system varying level system access functional authority student access limited registration record authorized system administrator access student registration record,SE
product shall process message within second product shall maximum message processing time second,PE
data entry form application match microsoft excel hardcopy counterpart closely possible hardcopies form provided design team second requirement interview,O
product shall updated regular basis product new major feature introduced every six month quarterly maintenance release every six month,MN
system shall interface faculty central server,O
application shall ask user confirm dropping player trading player performing action,US
account must securely store data,SE
business rule specified dispute system shall compliance guideline regulation e regulation z,L
product shall prevent input malicious data product adjacent system data shall remain uncorrupted time malicious data input product,SE
product shall provide portal product shall help system administrator analyze transaction reporting kpis key performance indicator,US
credit card information secured server accessible authorized izogn administrator information encrypted database,SE
shot marked miss product shall simulate sound shot missing target,LF
shall able handle user business hour,SC
collision estimator shall search recycled part user without collision estimator role shall access search recycled part,SE
information security defined outside scope sdms database server,SE
authorized user shall access student personal information,SE
product shall information security product shall enable privacy encryption integrity checking,SE
system shall compatible microsoft window operating system,O
product shall display type ship grid using image specific type ship,LF
transmission securely transmitted server without change information,SE
system shall protect private information accordance organization information policy,SE
product must comply intranet page standard requirement enet security product look feel approved architecture group prior implementation remaining corrected approved within one month product release,LF
application shall match color schema set forth department homeland security,LF
system must available use day year,A
system shall granularly control access right major subsystem possible assign access right subsystem independently,SE
product shall available distribution packaged cd,O
application developer access source code address bug system enhancement deemed necessary network administrator dba support also required maintain system uptime,A
mtbf le month,A
system able scale concurrent user need future installing additional hardware component,SC
product shall display grid within circle view periscope,LF
system must use point click interface selection navigation functionality must able either mouse keyboard,US
query shall take longer second load onto screen user submits query,PE
system shall expected manage nursing program curriculum scheduling minimum year,SC
inventory quantity adjustment period previous day shall take,PE
must able interface html browser,O
product shall audit capability product shall store message minimum one year audit transaction tracking purpose,SE
authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use,SE
product shall supported using corporate support center,O
system server shall never display customer password customer password may reset never shown,SE
product shall use symbol word naturally understandable realtor community,US
system simple use,LF
criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,SE
must interface cybersource api process credit card transaction,O
product shall ensure supervisor view schedule caller product must ensure supervisor allowed access advertise empty time slot,SE
system shall professional appearance,LF
dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database,O
product shall easy use adjuster collision estimator adjuster collision estimator shall find product easy use,US
system portable various operating environment,PO
must able change update information server,O
product shall able process transaction per hour within two year launch number increase release,SC
product shall available normal business hour long user access client pc system available time first six month operation,A
environment built application allow testing application different function,MN
website design modern clean concise,LF
meeting scheduler shall accessed web,O
manager able perform search query reservation user search query reservation user shall logons management logons,SE
client agree eula using software,L
access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent assigned role,SE
page shall contain similar format action item one location navigation button different location,LF
product shall expected operate within maximum maintenance budget minimum year,MN
product must support mozilla firefox,O
website shall offensive religious ethnic group,LF
able access streaming movie click logging website,US
update data file database must initiated dispute system,SE
user interface system user friendly,US
product shall able handle concurrent user within year initial launch,SC
system shall able automatically backup business data restore demand,O
wcs system shall ability connect designated wcs database currently included system,SC
system version release shall released beginning nfl season,MN
product expected integrate multiple database management system product operate oracle sql server mysql hsql m access,O
product shall easy realtor learn,US
product shall allow customization start page view preference,US
product shall interface choice part system provides feed recycled part data,O
streaming movie buffering occur latency user connection,PE
dispute application shall comply corporate standard user interface creation internally externally used application,LF
authorized user shall access portion system interface campusconnect,SE
system may throttled slowed heavy load ensure service everybody throttling meant certain functionality may unavailable heavy server load,PE
take second registered user place order,US
verbiage used within system shall consistent standard english terminology national nursing community,US
product interface fast response time product interface exceed second time time response time second second,PE
website shall available use hour per day day per year,A
entire website must easily navigable website must provided site map quick access particular link according requirement specification user must able find want site without difficulty website must adhere branding scheme layout web page must uniform throughout,US
product shall free computer virus,SE
product shall ability receive automatic software update new threat emerge customer able receive automatic software update transmitted installed product,SE
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet user name password,SE
parameter updated scheduled maintenance hour,MN
shall able activate card via administration section second,PE
report available technical unit basis,A
system provide hour toll free number support customer,A
administrator must able add new product website within minute,PE
anonymous survey show customer comfortable purchasing streaming movie week using website,US
connection faster system response time operation must second time,PE
product shall comply insurance regulation regarding claim processing,L
php code comply pear standard,L
projected data must understandable projection screen viewer must able determine event activity occurring current time viewing distance,US
system easy enough maintain someone else could manual hour training,MN
system shall leave cooky customer computer containing user confidential information,SE
system shall provide contractual agreement internet service provider provide availability network facility onto internet,A
addition new user modification user access shall recorded user report,SE
product shall translated foreign language target market country language future release emerging target market shall take day configure product market language,US
shall let customer register website unlimited movie subscriber user minute,PE
product must designed using design pattern coding best practice maintenance software developer able integrate new functionality product working day,MN
untrained realtor shall able install product device without printed instruction,US
system provides storage database redundant computer automatic switchover,O
wcs system shall available time long ibm internal intranet accessible wcs system available time ibm internal intranet available,A
dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database,O
system server shall accessible authenticated administrator,SE
system must quickly accessible manager chef,US
product shall able support simultaneous user,SC
product shall conform american disability act,US
system leave cooky customer computer containing user password,SE
system shall use interface display listing available mail,LF
available server must reliable network connectivity supermarket proper smooth flow operation data,O
valid data shall entered system invalid data shall entered system,SE
product shall intuitive new user shall able start display event activity within minute using product,US
product must able interface various database management system product shall communicate successfully database management system transaction,O
product shall create exception log problem encountered within product transmission company analysis resolution,FT
product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access advertise empty time slot,SE
registered user access product support site via internet registered user shall find solution problem within minute using support site,US
product shall operate offline mode whenever internet connection unavailable,FT
intranet page display appropriately resolution higher display page correct resolution prior implementation remaining corrected within week notification incorrect display,LF
system shall used within specification defined computer used program staff member,O
interface must summarize data fashion appealing ccr management every report type must least one high level summary shown result,LF
secure server required ensure confidentiality customer credit card detail,SE
shall let customer register website pay go user minute,PE
screen created part dispute application must comply corporate standard interface creation,LF
system shall used realtor training,US
product shall protect identity player product shall provide player access information might reveal identity another player,PE
system shall maintain consistent security change user password permission take affect part system,SE
market system interface web server rdbms software using apis provided implementation language,O
user software provided unique login id password stored database hashed algorithm,SE
system shall provide use icon toolbars,US
system shall prevent malicious attack including denial service,SE
user workstation shall meet minimum software requirement prior implementation microsoft internet explorer microsoft framework microsoft internet explorer web control,O
system shall require additional third party license resulting royalty fee,O
product shall capable handling concurrent request number increase release concurrency capacity must able handle peak scheduling time early morning late afternoon hour,SC
system shall accommodate large data item without fault,FT
recycled part audit report shall returned user within second audit report shall returned within second,PE
product function alongside server software operating system java runtime installed,O
system shall display confirmation message user within second user submits information system,PE
prevent attack system generate random word ask user enter correctly multiple tryings,SE
product shall platform independent product shall enable access type development environment platform,O
application shall downtime minute per year,A
ccr user shall receive training wcs system deployed one training session held ccr user system deployment based ccr user available,US
dispute application must conform legal requirement specified regulation e regulation z govern credit card dispute processing,L
product shall provide monitoring service product shall easy system administrator dba use two week usage,US
system shall compatible apache,PO
shall able check status prepaid card entering pin number second,PE
shall handle expected unexpected error way prevent loss information long downtime period,FT
system shall provide uniform look feel web page,LF
streaming server support simultaneous streaming connection,SC
product expected run window ce palm operating system,PO
system shall capable restoring previous state event failure system crash power loss,FT
process must fit within processing time condition set forth auto rep assignment process lead assigned within minute total life cycle,PE
interface shall appealing caller supervisor interface usability survey beta tester must report interface appealing,LF
product shall interface choiceparts system per day approximately,O
product shall available use hour per day day per year,A
waiter password used tablet login must least bit,SE
web page generated system shall fully downloadable second modem connection,PE
product must make use server technology open source example include apache web server tomcat jboss application server,O
system shall confirm transaction customer web browser,US
calculation performed system must comply according norm set user vary unless explicitly changed user,L
system shall leave cooky customer computer containing user password,SE
authentication privilege defined outside scope system microsoft active directory server,SE
website shall protect intentional abuse notify administrator occurrence,SE
search result shall returned later second user entered search criterion,PE
lead evaluation complete time period longer second lead processed,PE
source code development related document shall controlled version control system,MN
wcs system must run query wcs database specified day update available data available ccr user query must made external database data refresh week,MN
dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application,O
data transfer internet could provided using ssl encryption configured host system administrator,SE
product shall installed untrained realtor without recourse instruction,US
intuitive even first time user,LF
data backup must created daily,SE
product shall easy use user able successfully reserve conference room within minute product use,US
system support mobile user way,PO
product shall allow user select chosen language one target market country,US
shall required log system operation except operation login page,SE
product shall comply corporate user interface guideline,LF
application shall run web application server,O
new user shall able navigate league team page within second reaching page,US
server support maximum simultaneous user,SC
system must automatically log customer period inactivity,SE
product shall use standard navigation menu familiar web user,US
website african feel alienate website use animation page describing service grab user attention encourage sign,LF
product shall used office environment,O
customer web browser shall never display customer credit card number retrieving database shall always shown last digit credit card number,SE
commissioner authorized user per league adjust league setting,SE
system shall help user avoid making mistake scheduling class clinicals nursing student,US
access system system available time,A
system shall easy use program staff member,US
may use system o either window linux,PO
product shall internet browser independent product must run using internet explorer netscape navigator,MN
different type user every user access constraint,SE
waiter password used tablet login must changed every three month,SE
product shall synchronize contact appointment acceptable time,PE
dispute application must conform legal requirement specified merchant operating regulation,L
streaming server software prevent infection malicious virus,SE
product shall security product shall provide authentication authorization,SE
cma report shall returned later second user entered cma report criterion,PE
system shall allow minimum user work time,PE
customer web browser shall never display customer password shall always echoed special character representing typed character,SE
product shall operate every platform product shall accommodate new technology without change architecture,MN
must able interface following browser ie netscape firefox,O
system shall use organization standard virus protection software help monitor threat,SE
streaming server support maximum movie new server added support movie,SC
application portable io android,PO
reliability overall program depends reliability separate component main pillar reliability system backup database continuously maintained updated reflect recent change,FT
system shall interface campusconnect central server,O
new user must able added system within minute new user able log system within minute,US
account added bdw must reflected rf system entity mentioned available october loaded rf system prior budget start process,MN
product shall easy learn adjuster collision estimator product shall learned two day onsite training,US
shot marked hit product shall simulate sound shot hitting target,LF
system shall allow user scroll campus map campus map tab,US
product shall robust product shall fault avoidance based standard adoption,FT
system able manage information incoming database catalogue,O
website shall prevent data corrupted incorrect data entered,SE
dispute application shall available exception following scheduled maintenance window est sunday est,O
product shall provide gui based monitoring service system administrator shall monitor message exchange predict determine problem also provide internal external support,LF
shall let administrator category website minute,PE
product shall provide asynchronous messaging product shall provide asynchronous messaging enable parallel processing reduce overhead communication,PE
user shall either trusted trusted,SE
product shall poll system message every second product shall poll system new message maximum every second,PE
product available licensing server server license,O
purchasing streaming movie card via credit card processing time maximum response time second,PE
website must provide highest degree security registered user transaction made must secured sensitive information passed website must secured identity theft security related issue must solved unauthorized transmission sensitive information user third party website reference must avoided basis user agreement information must processed information registered user must securely stored central database,SE
product dependent shall remain operational result input malicious data product dependent shall crash time malicious data input product,FT
must update part changed connecting server,O
message board shall contain recently posted message league page message contain first character message,LF
product shall available distribution via internet binary zip file,O
application must log user exited,SE
system shall capable processing nursing student class next year,SC
use secured database,SE
merchant service representative shall able successfully perform follow action dispute case first encounter completing training course,US
product shall use symbol word naturally understandable user familiar website,US
website cater tribe nigeria,LF
transaction flea market require valid user id password,SE
product shall allow user view previously downloaded search result cma report appointment,FT
integrity script run weekly basis verify integrity database,SE
ship sunk product shall simulate sound sinking ship,LF
preferred repair facility rating shall saved within second save shall occur within second,PE
system database shall encrypted,SE
system shall reveal private information compliance organization information policy,SE
shall log according restricted computer system access policy,SE
product must able interface various email server product shall able send email,O
must automatic hour inactivity,SE
system shall provide contractual agreement internet service provider access availability,A
system shall provide handicap access,US
product shall prevent data incorrect data introduced,SE
product shall retain customer buying preference information,US
system shall provide way return startup screen,US
product shall adhere corporate online availability schedule application brought within scheduled outage per availability schedule,A
software available use supermarket opening time closing time,A
staff member people shall access clinical site detail,SE
susan poslusny dr julie donalek people shall access student personal information,SE
product shall robust fault tolerance product shall fault tolerance using recovery technique compensatory transaction routing around failure,FT
product must support internet explorer,O
web application shall add second perceivable overhead time necessary web database transaction time,PE
interface user automated system shall maximum response time second unless noted exception,PE
system shall use smtp mail protocol,O
system shall available use hour,A
system shall evoked typing pine command shell prompt,O
system shall operate within window xp professional operating system,O
change update addition wcs system shall updated wcs developer wcs user guide every change must reflected wcs system documentation,MN
dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case,L
product shall increase productivity collision estimator collision estimator shall agree productivity increase within month using product,US
application able support concurrent user without performance degradation,PE
system shall show tabbed display equivalent functionality campus map one tab info recently announced building,LF
product shall provide dynamic change support transparent resource addition product shall support transparent resource addition dynamic change support provide scalability avoid service interruption day,PE
product shall continue operate upgrade change new resource addition product shall able continue operate interruption service due new resource addition,MN
system shall support simultaneous user central database given time simultaneous user local server one time performance website must optimal case huge load hence appropriate load balancing must done achieve number mirror server readily available case huge load without user getting delay,PE
brio portion wcs system must able export file spreadsheet form microsoft excel lotus format brio provide button user interface report file format,O
campus map shall provide visual clue regarding area prepared audio therefore may selected,LF
system interface use ccr nomenclature system must use nomenclature used existing wcs system report,LF
product shall produce search result acceptable time,PE
product look feel shall able incorporate aspect customer organization logo branding identity,LF
connection system response time operation must second time,PE
number mistake noted student shall decreased first year,US
product shall conservative professional appearance,LF
website shall achieve time,A
search preferred repair facility shall take longer second preferred repair facility returned within second,PE
menu system must easily navigable user button easy understand,US
navigate maximum page create account website,US
website use flash provide animation home page,O
system shall high availability every day year system must available use day year,A
system shall use ibm ccr branding standard interface must one ibm logo one ccr logo,LF
system shall intuitive program staff member,US
average number recycled part record per day shall,SC
user interface shall standard menu button navigation,LF
system shall responsive depaul teleservices center supervisor us system view caller schedule system response time must second time second rest time,PE
must fully operational msn,O
customer stream movie purchased within day viewing period,SE
system shall interface student master server,O
product shall able installed specified environment within working day,O
aspect website shall accessed web browser internet,O
system shall achieve time,A
system need entirely since user would using register course,US
shall able reach add drop trade player page one click team owner page,US
user system shall authenticated authorized,SE
product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,SE
take second new user register account,US
user need read user manual able use application,US
system shall automatically log customer period inactivity,SE
administrator activate card,SE
system successfully operate registration system integrated service portal,O
shall encoded stream,O
staff available phone support provide technical support izogn administrator,A
password stored database encrypted format,SE
authorized user authenticated must able logon dispute system,SE
secondary database used store historical statistic data,O
website shall attractive audience website shall appear fun color bright vibrant,LF
system develop security system reduce minimum possibility corruption system human,SE
password generated accepted must stored database encrypted form,SE
view information shall take longer second appear screen,PE
system shall accommodate high number item user without fault,FT
